Period,Receipts,Outlays,Deficit/Surplus (-),Borrowing from the Public,Reduction of Operating Cash,By Other Means,,,,,,
Sep-17,"348,722","r340,837","-7,886","292,221","-103,921","-196,301",,,,,,
Oct-17,"235,341","298,555","63,214","77,450","-17,533","3,296",,,,,,
Nov-17,"208,374","346,922","138,547","166,318","-6,302","-21,468",,,,,,
Dec-17,"325,797","r348,989","23,192","-104,313","-45,777","173,283",,,,,,
Jan-18,"361,038","r311,801","-49,237","-13,375","-46,861","11,000",,,,,,
Feb-18,"155,623","r370,862","215,239","345,945","76,405","-207,102",,,,,,
Mar-18,"210,832","419,576","208,743","276,202","-90,258","22,799",,,,,,
Apr-18,"510,447","296,192","-214,255","-90,029","-129,728","5,502",,,,,,
May-18,"217,075","363,871","146,796","93,766","64,983","-11,952",,,,,,
Jun-18,"316,278","391,136","74,858","39,349","21,588","13,921",,,,,,
Jul-18,"225,266","302,131","76,865","103,330","-25,354","-1,110",,,,,,
Aug-18,"219,115","433,263","214,148","214,260","40,189","-40,301",,,,,,
Sep-18,"343,559","224,443","-119,116","-24,436","-66,742","-27,938",,,,,,
Oct-18,"252,692","353,183","100,491","80,897","18,116","1,478",,,,,,
Nov-18,"205,961","410,864","204,903","200,137","21,723","-16,957",,,,,,
Dec-18,"312,584","326,123","13,539","58,595","-57,264","12,208",,,,,,
Jan-19,"339,980","331,299","-8,681",103,"-1,459","-7,326",,,,,,
Feb-19,"167,265","401,243","233,977","149,613","112,933","-28,569",,,,,,
Mar-19,"228,811","375,756","146,945","-45,932","-43,348","236,224",,,,,,
Apr-19,"535,545","375,240","-160,305","-12,194","-88,573","-59,537",,,,,,
May-19,"232,064","439,833","207,768","9,497","189,711","8,560",,,,,,
Jun-19,"333,952","342,430","8,477","-12,337","-30,835","51,649",,,,,,
Jul-19,"251,348","371,044","119,696","24,422","87,047","8,227",,,,,,
Aug-19,"227,965","428,309","200,344","386,186","43,571","-229,413",,,,,,
Sep-19,"374,028","291,260","-82,768","212,619","-249,392","-45,994",,,,,,
Oct-19,"245,521","379,988","134,467","159,836","-52,458","27,090",,,,,,
Nov-19,"225,185","434,024","208,838","125,462","92,324","-8,948",,,,,,
Dec-19,"335,805","r349,091","13,286","65,767","-61,235","8,740",,,,,,
Jan-20,"372,288","r404,883","32,595","41,898",-131,"-9,174",,,,,,
Feb-20,"187,951","r423,229","235,278","200,119","46,732","-11,516",,,,,,
Mar-20,"236,766","r355,754","118,988","267,964","-158,006","9,167",,,,,,
Apr-20,"241,863","r979,885","738,022","1,386,528","-664,778","16,100",,,,,,
May-20,"173,861","r572,614","398,754","759,988","-269,095","-92,072",,,,,,
Jun-20,"240,829","1,104,903","864,074","716,272","-272,903","420,705",,,,,,
Jul-20,"563,496","626,487","62,992","106,415","-41,058","-2,365",,,,,,
Aug-20,"223,221","423,233","200,012","188,752","57,108","-45,764",,,,,,
Sep-20,"373,169","497,780","124,611","197,279","-75,697","3,029",,,,,,
Oct-20,"237,698","521,769","284,071","78,616","182,881","22,574",,,,,,
Nov-20,"219,553","364,819","145,266","251,250","-24,188","-81,796",,,,,,
Dec-20,"346,119","489,682","143,562","284,064","-105,583","-34,919",,,,,,
Jan-21,"384,651","547,483","162,832","11,544","117,217","34,071",,,,,,
Feb-21,"248,314","559,236","310,922","110,206","196,886","3,829",,,,,,
Mar-21,"267,614","927,217","659,603","226,219","292,515","140,858",,,,,,
Apr-21,"439,186","664,766","225,579","65,521","151,234","8,824",,,,,,
May-21,"463,745","595,698","131,953","-30,179","194,017","-31,884",,,,,,
Jun-21,"449,199","623,359","174,161","311,416","-75,229","-62,027",,,,,,
Jul-21,"262,000","564,050","302,050","-40,279","392,526","-50,194",,,,,,
Aug-21,"268,378","439,013","170,635","-30,375","103,418","97,592",,,,,,
Sep-21,"459,523","524,463","64,940","29,945","140,824","-105,828",,,,,,
Oct-21,"283,927","448,983","165,055","356,602","-62,863","-128,684",,,,,,
Nov-21,"281,208","472,543","191,335","7,512","64,870","118,953",,,,,,
Dec-21,"r486,723","r508,026","21,303","498,339","-192,955","-284,081",,,,,,
Jan-22,"r465,074","r346,375","-118,699","340,983","-336,735","-122,947",,,,,,
Feb-22,"r289,857","r506,447","216,590","286,640","-28,421","-41,630",,,,,,
Mar-22,"r315,165","r507,799","192,634","99,652","119,740","-26,758",,,,,,
Apr-22,"r863,644","r555,429","-308,215","-40,655","-271,717","4,157",,,,,,
May-22,"r388,988","r455,211","66,223","50,180","69,000","-52,957",,,,,,
Jun-22,"r460,757","r549,598","88,842","3,263","71,835","13,744",,,,,,
Jul-22,"r269,331","r480,383","211,052","36,707","163,133","11,212",,,,,,
Aug-22,"r303,722","r523,318","219,596","308,281","-50,638","-38,047",,,,,,
Sep-22,"487,723","r917,489","r429,776","22,310","33,918","373,548",,,,,,
Oct-22,"318,500","406,374","87,874","43,244","39,524","5,106",,,,,,
Nov-22,"252,111","500,646","248,535","194,996","63,679","-10,140",,,,,,
Dec-22,"454,942","539,943","85,001","-36,185","86,106","35,080",,,,,,
Jan-23,"447,288","486,072","38,784","67,209","-121,223","92,798",,,,,,
Feb-23,"262,114","524,548","262,434","21,386","152,904","88,145",,,,,,
Mar-23,"313,240","r691,675","r378,435","81,031","237,312","60,092",,,,,,
Apr-23,"638,520","462,340","-176,181","-87,787","-138,688","50,294",,,,,,
May-23,"307,487","547,835","240,348","19,085","267,869","-46,605",,,,,,
Jun-23,"418,317","646,085","227,768","823,325","-353,883","-241,674",,,,,,
Jul-23,"276,161","496,943","220,782","244,163","-99,434","76,053",,,,,,
Aug-23,"283,130","193,875","-89,256","328,271","-40,014","-377,512",,,,,,
Sep-23,"r467,475","r638,190","r170,715","283,932","-115,046","1,829",,,,,,
Oct-23,"403,434","469,997","66,564","226,047","-175,523","16,039",,,,,,
Nov-23,"274,830","588,842","314,012","261,061","73,561","-20,609",,,,,,
Dec-23,"429,311","558,665","129,354","100,278","-9,739","38,815",,,,,,
Jan-24,"477,320","499,250","21,930","137,681","-96,891","-18,860",,,,,,
Feb-24,"271,126","567,401","296,275","302,366","28,382","-34,473",,,,,,
Mar-24,"r332,079","r568,365","r236,556","134,803","61,831","39,922",,,,,,
Apr-24,"776,198","566,669","-209,529","-34,011","-187,160","11,642",,,,,,
May-24,"323,647","670,778","347,131","122,097","243,503","-18,468",,,,,,
Jun-24,"466,255","r537,220","r70,965","10,110","-58,872","119,727",,,,,,
Jul-24,"330,377","574,119","243,741","319,364","-76,203",581,,,,,,
Aug-24,"306,540","686,620","380,080","236,307","144,488",-715,,,,,,
Sep-24,"r526,990","r462,307","r-64,690","143,708","-176,213","-32,185",,,,,,
Oct-24,"326,770","584,221","257,450","262,171","-35,316","30,595",,,,,,
Nov-24,"301,754","668,517","366,763","221,295","164,163","-18,695",,,,,,
Dec-24,"454,415","541,146","86,732","48,271","34,986","3,475",,,,,,
Jan-25,"513,294","641,935","128,640","70,451","-71,133","129,322",,,,,,
Feb-25,"296,424","603,441","307,017","2,586","233,443","70,988",,,,,,
Mar-25,"r367,645","r528,174","160,530","2,000","153,796","4,734",,,,,,
Apr-25,"850,169","591,769","-258,400","-57,043","-271,871","70,514",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
